item_name,category_name
sprite 1 lt limon aromali gazoz,gazli içecek
toz seker,çay kahve
falim sakız 5li nane,sakız şekerleme
falim sakız 5li çilek,sakız şekerleme
f neffis toz seker 2 kg,çay kahve
f neffis kesme seker 1 kg,çay kahve
kent topitop disney çilek karpuz 6 ad,sakız şekerleme
vivident czd fruit swing 14 adet 26 gr,sakız şekerleme
lavache quirit ucgen peynir,peynir
kirmizi biber,sebze
ceri domates,sebze
salkim domates,sebze
patates,sebze
maggi corba kremali mantar,corba bulyon
kabak,sebze
domates,sebze
file patates,sebze
salatalik,sebze
sarimsak,sebze
limon,sebze
limon file,sebze
havuc,sebze
kivircik,sebze
arbella fiyonk makarna 500gr,makarna
ispanak kg,sebze
knorr corba ezogelin,corba bulyon
knorr corba kremali mantar,corba bulyon
maydanoz,sebze
sivri biber,sebze
pirasa,sebze
yesil sogan,sebze
ornek gunluk yufka 5 adet,unlu mamüller
f neffis buğday unu 2 kg,unlu mamüller
çaykur altin suzme poset 25li,çay kahve
çaykur tomurcuk earl grey 125g,çay kahve
çaykur kamelya çay 1kg,çay kahve
yudum aycicek yaği 5 lt tnk,sıvı yağlar
f neffis aycicek yaği 5 lt pet,sıvı yağlar
f neffis buğday unu 5 kg,unlu mamüller
çaykur filiz çay 500 gr,çay kahve
çaykur tiryaki çay 500 gr,çay kahve
coffee mate 50 gr,çay kahve
dr.oetker krem santi poset toz 75,toz tatlı
portakal,meyve
dr.oetker k.tozu 5li poset,toz tatlı
portakal file erol 2kg,meyve
ayva,meyve
mandalina,meyve
dr.oetker salep 20 gr,toz tatlı
yerli muz,meyve
s.uzum,meyve
ananas tane,meyve
kivi,meyve
çaykur kamelya çay 500gr,çay kahve
burdan 15 li yumurta orta beyaz 2012,yumurta
burdan 10 lu jumbo yumurta 2012,yumurta
burdan 30 lu buyuk boy kapakli yumurta,yumurta
burdan 15 li yumurta kahve 2012,yumurta
ülker cokokrem 700gr.-1202-,kahvaltılık
nestle nesquik 500 gr %20 bedava,kahvaltılık
yahyaoglu 15 li yumurta,yumurta
nutella findik ezmesi 750 gr,kahvaltılık
yahyaoglu 6 li yumurta,yumurta
ülker hobby 400 gr kakaolu find.,kahvaltılık
koska helva sade 500 gr.,kahvaltılık
yahyaoglu 30 lu buyuk boy yumurta,yumurta
burdan 6 li yumurta,yumurta
karnibahar,sebze
kartal makarna spaghetti 500gr,makarna
ankara makarna eriste 500gr,makarna
pastavilla makarna linguine 500 gr.,makarna
sogan,sebze
cali fasulye,sebze
içim hellim peyniri 250 gr,peynir
pastavilla makarna bukle 500 gr.,makarna
elidor 350 ml sac kremi onarici bakim,saç bakım
ankara makarna fiyonk 500gr,makarna
ülker stiks çikolata antep fıstıklı 38 gr,çikolata gofret
ülker 80gr baton sutlu 260-,çikolata gofret
ülker cokonat 32 gr.-275-,çikolata gofret
ülker metro 5li no:349,çikolata gofret
ülker 80gr findik çikolata 253,çikolata gofret
nestle nesquik kakaolu toz 450,çikolata gofret
ülker çikolatali gofret 35gr,çikolata gofret
"nestle nesguik tek içimlik 14,3 gr",çikolata gofret
kinder buenq 2li,çikolata gofret
kinder çikolata 8li 100gr,çikolata gofret
kinder surprise 20 gr,çikolata gofret
ülker laviva dolgulu çikolata,çikolata gofret
nestle nesguik çikolatali gofret 35gr.,çikolata gofret
eti karam gurme 55 gr bitter çikolata,çikolata gofret
eti 80 gr sutlu çikolata kare,çikolata gofret
uludağ madensu frutti çilek 200ml 6'li,su madensuyu
gillette tras kopugu 200 ml.normal,traş malzemeleri
nogay az tuzlu sele zeytin,zeytin
nogay biberli zeytin,zeytin
besler dilimli sucuk 260gr,et şarküteri
m.birlik az tuzlu 800 gr mega,zeytin
m.birlik sade siyah zeytin ezme 340g,zeytin
cook buzdolabi poseti 20*30,mutfak eşya gereçleri
nogay özel ürün yağli sele zeytini lux,zeytin
pınar doyum kokteyl sosis 300 gr.,et şarküteri
dr.oetker exspres sahlep 3+1,toz tatlı
elma golden,meyve
armut,meyve
dr.oetker çikolatali sufle,toz tatlı
dr.oetker meyveli sos 80 gr,toz tatlı
dr.oetker kakao 2*25gr.,toz tatlı
roka,sebze
yerli badem,sebze
kereviz,sebze
nestle crunch citir 35 gr,çikolata gofret
familia pecete 100 ad.,kağit peçeteler
teno 100 adet pecete,kağit peçeteler
f saff pecete 100'lu,kağit peçeteler
teno 200 adet pecete,kağit peçeteler
f saff wc kagidi 32 li,wc kağitlari
f saff wc 12 li tuvalet kagidi,wc kağitlari
selpak ultra wc kagidi 4 lu,wc kağitlari
edirne yardimci tam yağli klasik inek pey.,hazır yemek mama
familia pecete 200 ad.,kağit peçeteler
papia wc kagidi 10+2rulo bedava,wc kağitlari
beypazari soda tekli 20 cc,su madensuyu
s.brite pamuklu paspas yeni,ev temizlik gereçleri
vileda yesil sunger 2li klasik oluklu,ev temizlik gereçleri
domestos ultra 810ml.okaliptüs ferahliği,çamaşır yikama
domestos ultra 810ml.limon f.,çamaşır yikama
"f saff çamasir suyu 2,5 kg",çamaşır yikama
vileda celik tel 2+1,ev temizlik gereçleri
vileda eldiven kullan at multi,ev temizlik gereçleri
vileda eldiven standard -7,ev temizlik gereçleri
pınar beyaz 200gr.,dondurulmuş gida
pınar %100 saf portakal suyu 1lt,dondurulmuş gida
sihirli eller cig köfte 200gr,hazır yemekler
bizim ketcap 750 gr tatli pvc,hazır yemekler
kaya funda garland kuru incir 250gr,büskivi çerez
wella koleston kopuk boya 5/0 acik kahve,saç bakım
tadım ay cekirdegi 200 gr.bol tuzlu,büskivi çerez
tadım cifte kavrulmus 200gr sari leblebi,büskivi çerez
tat ketcap 345 gr tatli,hazır yemekler
calve  ketcap 700gr,hazır yemekler
tat mayonez 295 gr,hazır yemekler
ay cekirdegi,büskivi çerez
berrak tursu salatalik 250 gr,hazır yemekler
bizim ketcap 420 gr pwc tatli,hazır yemekler
f neffis taze kasar peyniri 1000 gr,peynir
senpilic,kümes hayvanlari
senpilic baget,kümes hayvanlari
first damla sakızli 22 gr,sakız şekerleme
kent olips xs mentol nane 17 gr,sakız şekerleme
kent jelibon 100 gr.ayicik,sakız şekerleme
kent jelibon 100gr.topik,sakız şekerleme
kent jelibon 100 gr.frutty,sakız şekerleme
first sensations nane esintisi 27 gr,sakız şekerleme
doğuş sargili seker kg,çay kahve
doğuş kup seker 5 kg tekli sargili,çay kahve
rocco siki şeker nar-çilek 19.5gr,sakız şekerleme
sutas tost kasar peynir 700 gr,peynir
senpilic bonfile,kümes hayvanlari
senpilic izgara tava,kümes hayvanlari
viva cappio deo sprey 150ml,parfüm deodorant
lux karisik cerez,büskivi çerez
findik ici,büskivi çerez
iri kabak,büskivi çerez
kokteyl,büskivi çerez
peyman antep fistigi 156gr,büskivi çerez
kabuklu badem,büskivi çerez
tadım ay cekirdegi 200 gr,büskivi çerez
tat biberiye tursusu 370 gr,hazır yemekler
tadım ay cekirdegi boltuzlu 50gr,büskivi çerez
derya kasar 250gr,peynir
derya dilim kaşar 500 gr,peynir
kebir taze kasar 400 gr,peynir
fidanlar taze kasar 400 gr,peynir
"uludağ gazoz 1,5lt.eko boy",gazli içecek
ülker camlica 250 ml cam,gazli içecek
bizim margarin 250 gr 6li eko paket,tereyağ margarin
terem paket margarin 250 gr.,tereyağ margarin
sana hamurisi margarin 250 gr,tereyağ margarin
sutas meyveli yogurt 2 li çilek,yoğurt
halk margarin 250 gr,tereyağ margarin
halk margarin 500gr kase,tereyağ margarin
